number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,state
0,1.1467781297404147,2026-04-14 00:39:40.521162,2026-04-14 00:39:41.054045,0 days 00:00:00.532883,0.13984242784291115,4,129,37,0.015468985134828918,6.370103781204739,COMPLETE
1,1.1235457878538824,2026-04-14 00:39:41.054045,2026-04-14 00:39:41.967778,0 days 00:00:00.913733,0.20176416821576504,10,170,24,0.00011062088941924982,2.8894546670217207,COMPLETE
2,1.0968856315629851,2026-04-14 00:39:41.967778,2026-04-14 00:39:50.515245,0 days 00:00:08.547467,0.010935191501280224,10,590,92,0.18555573473368403,0.15110827662889162,COMPLETE
3,1.098597930116496,2026-04-14 00:39:50.515245,2026-04-14 00:39:56.444544,0 days 00:00:05.929299,0.22810447674161588,9,692,102,0.07185348568366708,0.001407826045997568,COMPLETE
4,1.106444427648668,2026-04-14 00:39:56.444544,2026-04-14 00:40:01.523198,0 days 00:00:05.078654,0.15826692670002637,12,905,113,0.31104543836488563,0.0024234247710299742,COMPLETE
5,1.0828051622638546,2026-04-14 00:40:01.523198,2026-04-14 00:40:18.579816,0 days 00:00:17.056618,0.013665994761180394,14,861,144,1.0165791937738686,1.4188469983032137,COMPLETE
6,1.1159250784148247,2026-04-14 00:40:18.579816,2026-04-14 00:40:19.699952,0 days 00:00:01.120136,0.21060432885128186,3,697,129,3.7584020832339524,0.01817648315730497,COMPLETE
7,1.087774027707418,2026-04-14 00:40:19.699952,2026-04-14 00:40:34.558209,0 days 00:00:14.858257,0.03134570527603221,13,704,147,0.11325618466428983,0.0029698767818212663,COMPLETE
8,1.1224305380878075,2026-04-14 00:40:34.558209,2026-04-14 00:40:36.703739,0 days 00:00:02.145530,0.23468515186927663,13,189,58,0.0008880229666547227,0.00034365780155491644,COMPLETE
9,1.1378155077422758,2026-04-14 00:40:36.703739,2026-04-14 00:40:38.971732,0 days 00:00:02.267993,0.25235089715215525,5,694,69,0.0036139010881797475,0.00034561164135276696,COMPLETE
10,1.0793029422805243,2026-04-14 00:40:38.971732,2026-04-14 00:40:55.061942,0 days 00:00:16.090210,0.010810559925352708,15,930,146,2.5226561970670587,0.4308461431030244,COMPLETE
11,1.0927540686471033,2026-04-14 00:40:55.061942,2026-04-14 00:41:06.106274,0 days 00:00:11.044332,0.011390877661714198,15,954,150,8.867689150160693,0.5092512031944773,COMPLETE
12,1.0835921696575503,2026-04-14 00:41:06.106274,2026-04-14 00:41:20.352531,0 days 00:00:14.246257,0.02592080336842124,15,888,126,1.2994295941686367,0.7644075077866856,COMPLETE
13,1.1053937122309174,2026-04-14 00:41:20.352531,2026-04-14 00:41:23.293977,0 days 00:00:02.941446,0.019633238967807484,7,368,129,0.7968511726748578,0.18962986299584514,COMPLETE
14,1.0870240895528946,2026-04-14 00:41:23.293977,2026-04-14 00:41:29.943705,0 days 00:00:06.649728,0.052584595371431224,15,833,149,2.1427350699089516,0.03469128799604951,COMPLETE
15,1.0994503741189978,2026-04-14 00:41:29.943705,2026-04-14 00:41:37.508337,0 days 00:00:07.564632,0.01799266666340073,12,989,111,9.805285801357913,1.8383418941811984,COMPLETE
16,1.0807452086163585,2026-04-14 00:41:37.508337,2026-04-14 00:41:49.462086,0 days 00:00:11.953749,0.07512911710328804,13,803,77,0.01837198595354686,0.04774127214989335,COMPLETE
17,1.0751840084417077,2026-04-14 00:41:49.462086,2026-04-14 00:41:55.657771,0 days 00:00:06.195685,0.08612662848339941,11,461,75,0.015525469032197833,0.03222780387539188,COMPLETE
18,1.0774588346385583,2026-04-14 00:41:55.657771,2026-04-14 00:41:58.398356,0 days 00:00:02.740585,0.0764454848640077,7,432,51,0.004362929581513285,0.012645194996863408,COMPLETE
19,1.0862670151154001,2026-04-14 00:41:58.398356,2026-04-14 00:42:00.939489,0 days 00:00:02.541133,0.08104466447863123,7,393,49,0.004226451391598875,0.009660914319232163,COMPLETE
20,1.0862035301571098,2026-04-14 00:42:00.939489,2026-04-14 00:42:04.289759,0 days 00:00:03.350270,0.05245486792754114,8,418,60,0.0005889110336684115,0.010446318366022195,COMPLETE
21,1.0931876328142238,2026-04-14 00:42:04.289759,2026-04-14 00:42:06.617926,0 days 00:00:02.328167,0.09191913178743384,6,495,85,0.005325979664617667,0.10618309616755935,COMPLETE
22,1.0893965937077952,2026-04-14 00:42:06.617926,2026-04-14 00:42:09.200206,0 days 00:00:02.582280,0.03963627107527419,11,287,44,0.001300742961889392,0.3625466406627576,COMPLETE
23,1.0977347934779977,2026-04-14 00:42:09.200206,2026-04-14 00:42:15.371219,0 days 00:00:06.171013,0.11864900878040326,9,562,74,0.027937130068022568,0.05941835793905459,COMPLETE
24,1.0916751455983922,2026-04-14 00:42:15.371219,2026-04-14 00:42:17.779404,0 days 00:00:02.408185,0.06326939826804244,8,484,28,0.008450584856480725,0.012566812390164881,COMPLETE
25,1.0813193624258177,2026-04-14 00:42:17.781491,2026-04-14 00:42:19.830190,0 days 00:00:02.048699,0.04562478328670014,6,459,62,0.0019247718315951524,0.005316811132944194,COMPLETE
26,1.0888585846000571,2026-04-14 00:42:19.830190,2026-04-14 00:42:25.103727,0 days 00:00:05.273537,0.10240992519664427,11,334,90,0.07449675086223549,0.0010930567063349274,COMPLETE
27,1.0845604252641456,2026-04-14 00:42:25.103727,2026-04-14 00:42:27.593846,0 days 00:00:02.490119,0.03680947582494872,10,277,48,0.00027098386618603797,0.02593537497183501,COMPLETE
28,1.0839620824154188,2026-04-14 00:42:27.593846,2026-04-14 00:42:33.741525,0 days 00:00:06.147679,0.06686474670781475,8,597,81,0.3771412560315702,0.262361689762754,COMPLETE
29,1.1172999813145175,2026-04-14 00:42:33.741525,2026-04-14 00:42:35.105387,0 days 00:00:01.363862,0.14763524892293928,4,627,40,0.012826848900651508,5.954772201534023,COMPLETE
30,1.106553151910802,2026-04-14 00:42:35.105387,2026-04-14 00:42:47.165399,0 days 00:00:12.060012,0.12073436905217867,14,767,98,0.03946920436793238,0.07955307495954905,COMPLETE
31,1.0842001579716332,2026-04-14 00:42:47.165399,2026-04-14 00:42:58.779518,0 days 00:00:11.614119,0.07478735232618984,13,810,76,0.024061588714101287,0.04631934454486643,COMPLETE
32,1.0784214048395577,2026-04-14 00:42:58.779518,2026-04-14 00:43:05.563367,0 days 00:00:06.783849,0.09297696874373096,14,513,67,0.012206297668905353,0.006831831476433883,COMPLETE
33,1.0828448155087351,2026-04-14 00:43:05.563367,2026-04-14 00:43:12.003768,0 days 00:00:06.440401,0.09754782123913021,12,513,67,0.0024862138836709066,0.00010102148952894838,COMPLETE
