number,value,datetime_start,datetime_complete,duration,params_alpha,params_hidden_layer_sizes,params_learning_rate_init,params_max_iter,state
0,1.2830822446958428,2026-04-14 00:55:16.979705,2026-04-14 00:55:25.756671,0 days 00:00:08.776966,0.0013364369631360966,"(128, 64)",0.0083555832531952,165,COMPLETE
1,1.2273470721235322,2026-04-14 00:55:25.756671,2026-04-14 00:55:44.012093,0 days 00:00:18.255422,0.3658409320089765,"(64, 32)",0.00024502420670872353,367,COMPLETE
2,1.2543342529348687,2026-04-14 00:55:44.012093,2026-04-14 00:55:54.696589,0 days 00:00:10.684496,0.0006985368902332767,"(128, 64)",0.0017858002214455988,398,COMPLETE
3,1.2306548251399494,2026-04-14 00:55:54.696589,2026-04-14 00:55:57.234384,0 days 00:00:02.537795,0.4569156761417462,"(64, 32)",0.03412415237130057,294,COMPLETE
4,1.3294529562379935,2026-04-14 00:55:57.234384,2026-04-14 00:56:01.083133,0 days 00:00:03.848749,0.0002048271521501701,"(128, 64)",0.04602625833660155,356,COMPLETE
5,1.3009575869792098,2026-04-14 00:56:01.083133,2026-04-14 00:56:06.000186,0 days 00:00:04.917053,0.006582006534187233,"(64, 32)",0.011234149995464562,180,COMPLETE
6,1.2366294013165844,2026-04-14 00:56:06.000186,2026-04-14 00:56:13.929594,0 days 00:00:07.929408,0.012483873279875962,"(64,)",0.0006639889339537153,215,COMPLETE
7,1.2146335478123356,2026-04-14 00:56:13.929594,2026-04-14 00:56:26.608316,0 days 00:00:12.678722,0.03967008521401282,"(128, 64)",0.00011067609854597467,143,COMPLETE
8,1.3199084974051456,2026-04-14 00:56:26.608316,2026-04-14 00:56:36.228750,0 days 00:00:09.620434,0.0004033593683181551,"(128, 64)",0.005500732685272098,177,COMPLETE
9,1.2572568693949098,2026-04-14 00:56:36.228750,2026-04-14 00:56:52.239602,0 days 00:00:16.010852,0.025589194267930056,"(128, 64)",0.0008881396096267887,287,COMPLETE
10,1.447511427753426,2026-04-14 00:56:52.239602,2026-04-14 00:56:56.465583,0 days 00:00:04.225981,0.08657276232705573,"(64,)",0.00013794339077818747,114,COMPLETE
11,1.3088110611233106,2026-04-14 00:56:56.465583,2026-04-14 00:57:01.724028,0 days 00:00:05.258445,0.4125210250494312,"(64, 32)",0.00012151951266856351,106,COMPLETE
